epoch	loss	acc	val_loss	val_acc
0	0.751053	0.498485	0.687081	0.536667
1	0.746610	0.512121	0.671712	0.630000
2	0.711692	0.548485	0.659393	0.590000
3	0.688853	0.562121	0.647731	0.656667
4	0.678383	0.575758	0.638138	0.660000
5	0.649098	0.622727	0.635528	0.660000
6	0.646604	0.615152	0.626319	0.676667
7	0.643231	0.615152	0.620784	0.680000
8	0.635481	0.637879	0.617434	0.683333
9	0.634906	0.642424	0.611929	0.680000
10	0.640543	0.630303	0.612538	0.690000
11	0.617658	0.666667	0.607944	0.700000
12	0.606741	0.678788	0.604880	0.683333
13	0.624253	0.653030	0.604240	0.676667
14	0.601796	0.669697	0.599880	0.690000
15	0.619242	0.642424	0.597855	0.693333
16	0.616424	0.662121	0.599683	0.680000
17	0.622341	0.671212	0.599536	0.690000
18	0.602414	0.677273	0.597455	0.700000
19	0.587081	0.713636	0.593480	0.686667
20	0.597593	0.668182	0.592352	0.706667
21	0.598153	0.665152	0.591474	0.693333
22	0.585470	0.692424	0.588245	0.700000
23	0.594529	0.689394	0.587216	0.690000
24	0.591635	0.669697	0.585629	0.693333
25	0.576077	0.715152	0.586927	0.713333
26	0.584633	0.683333	0.585084	0.693333
27	0.574389	0.695455	0.582815	0.700000
28	0.582257	0.681818	0.583045	0.700000
29	0.571528	0.704545	0.581655	0.700000
30	0.569796	0.710606	0.582403	0.696667
31	0.570341	0.712121	0.580239	0.690000
32	0.574276	0.689394	0.576460	0.696667
33	0.572034	0.706061	0.578265	0.710000
34	0.572462	0.703030	0.577329	0.713333
35	0.554429	0.719697	0.576119	0.700000
36	0.563912	0.713636	0.573979	0.700000
37	0.560279	0.715152	0.575323	0.700000
38	0.560069	0.713636	0.573746	0.710000
39	0.567415	0.725758	0.570574	0.710000
40	0.555545	0.713636	0.570849	0.703333
41	0.550647	0.733333	0.571034	0.713333
42	0.547250	0.728788	0.570004	0.713333
43	0.558155	0.704545	0.567689	0.716667
44	0.551765	0.728788	0.566635	0.700000
45	0.557825	0.721212	0.568158	0.706667
46	0.552335	0.721212	0.565862	0.720000
47	0.557522	0.704545	0.565393	0.703333
48	0.569661	0.706061	0.570296	0.713333
49	0.547065	0.725758	0.562852	0.723333
