epoch	loss	acc	val_loss	val_acc
0	0.639173	0.665152	0.512254	0.736667
1	0.535123	0.745455	0.481972	0.786667
2	0.497725	0.743939	0.450885	0.790000
3	0.454993	0.790909	0.428833	0.806667
4	0.404635	0.833333	0.433861	0.803333
5	0.364795	0.837879	0.428795	0.806667
6	0.319903	0.860606	0.405160	0.826667
7	0.312725	0.869697	0.448097	0.793333
8	0.308901	0.872727	0.477878	0.810000
9	0.312864	0.878788	0.429642	0.830000
10	0.261063	0.903030	0.499162	0.786667
11	0.253676	0.907576	0.469999	0.816667
12	0.239226	0.896970	0.431544	0.803333
13	0.221732	0.912121	0.469758	0.810000
14	0.232845	0.906061	0.427891	0.826667
15	0.214997	0.922727	0.489679	0.806667
16	0.188508	0.933333	0.563820	0.770000
17	0.174840	0.939394	0.569843	0.793333
18	0.163486	0.930303	0.529563	0.796667
19	0.175579	0.928788	0.518622	0.806667
20	0.165157	0.934848	0.530133	0.836667
21	0.159390	0.948485	0.533730	0.803333
22	0.160033	0.930303	0.507468	0.800000
23	0.160217	0.937879	0.558359	0.830000
24	0.136986	0.951515	0.485562	0.793333
25	0.154157	0.951515	0.475864	0.806667
26	0.119089	0.957576	0.520698	0.810000
27	0.121623	0.953030	0.529218	0.786667
28	0.117323	0.956061	0.537679	0.826667
29	0.098969	0.962121	0.706918	0.800000
30	0.109177	0.956061	0.670778	0.783333
31	0.127993	0.948485	0.553326	0.826667
32	0.121223	0.950000	0.714385	0.803333
33	0.107484	0.956061	0.556325	0.826667
34	0.124369	0.954545	0.556236	0.826667
35	0.091170	0.974242	0.549079	0.823333
36	0.100913	0.957576	0.563026	0.826667
37	0.095749	0.968182	0.714856	0.803333
38	0.098140	0.963636	0.666731	0.780000
39	0.091536	0.971212	0.669328	0.806667
40	0.090881	0.971212	0.617343	0.786667
41	0.078579	0.968182	0.652797	0.780000
42	0.080823	0.965152	0.825738	0.806667
43	0.103437	0.960606	0.764028	0.766667
44	0.073345	0.974242	0.674614	0.816667
45	0.068428	0.974242	0.669281	0.783333
46	0.092221	0.960606	0.728491	0.763333
47	0.082967	0.965152	0.898887	0.786667
48	0.092505	0.960606	0.781561	0.803333
49	0.100460	0.960606	0.546632	0.816667
50	0.064776	0.974242	0.767995	0.830000
51	0.083282	0.965152	0.640615	0.796667
52	0.061710	0.974242	0.820078	0.786667
53	0.062684	0.977273	0.781696	0.796667
54	0.060724	0.966667	0.761967	0.840000
55	0.076841	0.968182	0.618941	0.813333
56	0.057250	0.978788	1.007966	0.783333
57	0.073705	0.968182	0.838981	0.786667
58	0.046472	0.980303	0.956155	0.796667
59	0.072124	0.969697	0.593120	0.800000
60	0.057901	0.975758	0.767604	0.813333
61	0.067093	0.968182	0.813475	0.770000
62	0.074499	0.969697	0.772535	0.793333
63	0.070906	0.971212	0.673076	0.816667
64	0.047517	0.977273	0.792035	0.800000
65	0.060672	0.972727	0.639027	0.843333
66	0.052563	0.972727	0.742909	0.826667
67	0.072666	0.968182	0.707079	0.810000
68	0.042840	0.980303	0.750179	0.826667
69	0.059800	0.968182	0.771990	0.790000
70	0.051346	0.972727	0.781605	0.803333
71	0.058861	0.971212	0.795391	0.803333
72	0.048167	0.977273	0.803110	0.816667
73	0.057971	0.968182	0.993867	0.816667
74	0.051569	0.971212	0.825945	0.803333
75	0.056830	0.974242	0.770736	0.803333
76	0.055312	0.971212	0.713166	0.830000
77	0.052821	0.971212	1.045193	0.796667
78	0.062996	0.963636	0.871860	0.800000
79	0.060716	0.974242	0.858274	0.820000
80	0.041436	0.984848	0.914673	0.820000
81	0.058174	0.972727	0.933860	0.803333
82	0.040732	0.980303	1.041062	0.800000
83	0.065369	0.968182	0.818515	0.763333
84	0.049472	0.975758	0.823735	0.803333
85	0.041280	0.972727	0.940885	0.786667
86	0.043943	0.978788	0.852120	0.826667
87	0.050243	0.972727	0.840373	0.806667
88	0.055292	0.975758	0.824986	0.776667
89	0.057789	0.960606	0.831370	0.800000
90	0.051698	0.972727	0.824915	0.816667
91	0.045807	0.978788	0.851228	0.803333
92	0.047720	0.969697	0.757724	0.813333
93	0.038079	0.978788	0.962903	0.776667
94	0.043752	0.975758	0.884820	0.796667
95	0.036101	0.974242	0.819086	0.823333
96	0.041344	0.980303	0.919193	0.800000
97	0.040672	0.975758	0.890759	0.806667
98	0.048451	0.975758	0.844682	0.813333
99	0.040207	0.977273	0.929289	0.800000
